title,runtime_raw,imdb_rating_raw,genre_raw,release_year_raw,runtime,imdb_rating,release_year,genre
Furious 7 ,140.0,7.2,Action|Crime|Thriller,2015.0,140.0,7.2,2015.0,Action|Crime|Thriller
World War Z ,123.0,7.0,Action|Adventure|Horror|Sci-Fi|Thriller,2013.0,123.0,7.0,2013.0,Action|Adventure|Horror|Sci-Fi|Thriller
X-Men: Days of Future Past ,149.0,8.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,2014.0,149.0,8.0,2014.0,Action|Adventure|Fantasy|Sci-Fi|Thriller
Star Trek Into Darkness ,132.0,7.8,Action|Adventure|Sci-Fi,2013.0,132.0,7.8,2013.0,Action|Adventure|Sci-Fi
Jack the Giant Slayer ,114.0,6.3,Adventure|Fantasy,2013.0,114.0,6.3,2013.0,Adventure|Fantasy
The Great Gatsby ,143.0,7.3,Drama|Romance,2013.0,143.0,7.3,2013.0,Drama|Romance
Prince of Persia: The Sands of Time ,116.0,6.6,Action|Adventure|Fantasy|Romance,2010.0,116.0,6.6,2010.0,Action|Adventure|Fantasy|Romance
Pacific Rim ,131.0,7.0,Action|Adventure|Sci-Fi,2013.0,131.0,7.0,2013.0,Action|Adventure|Sci-Fi
Transformers: Dark of the Moon ,154.0,6.3,Action|Adventure|Sci-Fi,2011.0,154.0,6.3,2011.0,Action|Adventure|Sci-Fi
Indiana Jones and the Kingdom of the Crystal Skull ,122.0,6.2,Action|Adventure|Fantasy,2008.0,122.0,6.2,2008.0,Action|Adventure|Fantasy
The Good Dinosaur ,93.0,6.8,Adventure|Animation|Comedy|Family|Fantasy,2015.0,93.0,6.8,2015.0,Adventure|Animation|Comedy|Family|Fantasy
Brave ,93.0,7.2,Adventure|Animation|Comedy|Family|Fantasy,2012.0,93.0,7.2,2012.0,Adventure|Animation|Comedy|Family|Fantasy
Star Trek Beyond ,122.0,7.5,Action|Adventure|Sci-Fi|Thriller,2016.0,122.0,7.5,2016.0,Action|Adventure|Sci-Fi|Thriller
WALL·E ,98.0,8.4,Adventure|Animation|Family|Sci-Fi,2008.0,98.0,8.4,2008.0,Adventure|Animation|Family|Sci-Fi
Rush Hour 3 ,91.0,6.2,Action|Comedy|Crime|Thriller,2007.0,91.0,6.2,2007.0,Action|Comedy|Crime|Thriller
2012 ,158.0,5.8,Action|Adventure|Sci-Fi,2009.0,158.0,5.8,2009.0,Action|Adventure|Sci-Fi
A Christmas Carol ,96.0,6.8,Animation|Drama|Family|Fantasy,2009.0,96.0,6.8,2009.0,Animation|Drama|Family|Fantasy
Jupiter Ascending ,127.0,5.4,Action|Adventure|Sci-Fi,2015.0,127.0,5.4,2015.0,Action|Adventure|Sci-Fi
The Legend of Tarzan ,110.0,6.6,Action|Adventure|Drama|Romance,2016.0,110.0,6.6,2016.0,Action|Adventure|Drama|Romance
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",150.0,6.9,Adventure|Family|Fantasy,2005.0,150.0,6.9,2005.0,Adventure|Family|Fantasy
X-Men: Apocalypse ,144.0,7.3,Action|Adventure|Sci-Fi,2016.0,144.0,7.3,2016.0,Action|Adventure|Sci-Fi
The Dark Knight ,152.0,9.0,Action|Crime|Drama|Thriller,2008.0,152.0,9.0,2008.0,Action|Crime|Drama|Thriller
Up ,96.0,8.3,Adventure|Animation|Comedy|Family,2009.0,96.0,8.3,2009.0,Adventure|Animation|Comedy|Family
Monsters vs. Aliens ,94.0,6.5,Action|Adventure|Animation|Comedy|Family|Sci-Fi,2009.0,94.0,6.5,2009.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi
Iron Man ,126.0,7.9,Action|Adventure|Sci-Fi,2008.0,126.0,7.9,2008.0,Action|Adventure|Sci-Fi
Hugo ,126.0,7.5,Adventure|Drama|Family|Mystery,2011.0,126.0,7.5,2011.0,Adventure|Drama|Family|Mystery
Wild Wild West ,106.0,4.8,Action|Comedy|Sci-Fi|Western,1999.0,106.0,4.8,1999.0,Action|Comedy|Sci-Fi|Western
The Mummy: Tomb of the Dragon Emperor ,112.0,5.2,Action|Adventure|Fantasy|Horror|Thriller,2008.0,112.0,5.2,2008.0,Action|Adventure|Fantasy|Horror|Thriller
Suicide Squad ,123.0,6.9,Action|Adventure|Comedy|Sci-Fi,2016.0,123.0,6.9,2016.0,Action|Adventure|Comedy|Sci-Fi
Evan Almighty ,96.0,5.4,Comedy|Family|Fantasy,2007.0,96.0,5.4,2007.0,Comedy|Family|Fantasy
Edge of Tomorrow ,113.0,7.9,Action|Adventure|Sci-Fi,2014.0,113.0,7.9,2014.0,Action|Adventure|Sci-Fi
Waterworld ,176.0,6.1,Action|Adventure|Sci-Fi|Thriller,1995.0,176.0,6.1,1995.0,Action|Adventure|Sci-Fi|Thriller
G.I. Joe: The Rise of Cobra ,118.0,5.8,Action|Adventure|Sci-Fi|Thriller,2009.0,118.0,5.8,2009.0,Action|Adventure|Sci-Fi|Thriller
Inside Out ,95.0,8.3,Adventure|Animation|Comedy|Drama|Family|Fantasy,2015.0,95.0,8.3,2015.0,Adventure|Animation|Comedy|Drama|Family|Fantasy
The Jungle Book ,106.0,7.8,Adventure|Drama|Family|Fantasy,2016.0,106.0,7.8,2016.0,Adventure|Drama|Family|Fantasy
Iron Man 2 ,124.0,7.0,Action|Adventure|Sci-Fi,2010.0,124.0,7.0,2010.0,Action|Adventure|Sci-Fi
Snow White and the Huntsman ,132.0,6.1,Action|Adventure|Drama|Fantasy,2012.0,132.0,6.1,2012.0,Action|Adventure|Drama|Fantasy
Maleficent ,97.0,7.0,Action|Adventure|Family|Fantasy|Romance,2014.0,97.0,7.0,2014.0,Action|Adventure|Family|Fantasy|Romance
Dawn of the Planet of the Apes ,130.0,7.6,Action|Adventure|Drama|Sci-Fi,2014.0,130.0,7.6,2014.0,Action|Adventure|Drama|Sci-Fi
The Lovers ,109.0,4.5,Action|Adventure|Romance|Sci-Fi,2015.0,109.0,4.5,2015.0,Action|Adventure|Romance|Sci-Fi
47 Ronin ,128.0,6.3,Action|Adventure|Drama|Fantasy,2013.0,128.0,6.3,2013.0,Action|Adventure|Drama|Fantasy
Captain America: The Winter Soldier ,136.0,7.8,Action|Adventure|Sci-Fi,2014.0,136.0,7.8,2014.0,Action|Adventure|Sci-Fi
Shrek Forever After ,93.0,6.4,Adventure|Animation|Comedy|Family|Fantasy,2010.0,93.0,6.4,2010.0,Adventure|Animation|Comedy|Family|Fantasy
Tomorrowland ,130.0,6.5,Action|Adventure|Family|Mystery|Sci-Fi,2015.0,130.0,6.5,2015.0,Action|Adventure|Family|Mystery|Sci-Fi
Big Hero 6 ,102.0,7.9,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,2014.0,102.0,7.9,2014.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi
Wreck-It Ralph ,101.0,7.8,Adventure|Animation|Comedy|Family|Sci-Fi,2012.0,101.0,7.8,2012.0,Adventure|Animation|Comedy|Family|Sci-Fi
The Polar Express ,100.0,6.6,Adventure|Animation|Family|Fantasy,2004.0,100.0,6.6,2004.0,Adventure|Animation|Family|Fantasy
Independence Day: Resurgence ,120.0,5.5,Action|Adventure|Sci-Fi,2016.0,120.0,5.5,2016.0,Action|Adventure|Sci-Fi
How to Train Your Dragon ,98.0,8.2,Adventure|Animation|Family|Fantasy,2010.0,98.0,8.2,2010.0,Adventure|Animation|Family|Fantasy
Terminator 3: Rise of the Machines ,109.0,6.4,Action|Sci-Fi,2003.0,109.0,6.4,2003.0,Action|Sci-Fi
Guardians of the Galaxy ,121.0,8.1,Action|Adventure|Sci-Fi,2014.0,121.0,8.1,2014.0,Action|Adventure|Sci-Fi
Interstellar ,169.0,8.6,Adventure|Drama|Sci-Fi,2014.0,169.0,8.6,2014.0,Adventure|Drama|Sci-Fi
Inception ,148.0,8.8,Action|Adventure|Sci-Fi|Thriller,2010.0,148.0,8.8,2010.0,Action|Adventure|Sci-Fi|Thriller
Godzilla Resurgence ,120.0,8.2,Action|Adventure|Drama|Horror|Sci-Fi,2016.0,120.0,8.2,2016.0,Action|Adventure|Drama|Horror|Sci-Fi
The Hobbit: An Unexpected Journey ,182.0,7.9,Adventure|Fantasy,2012.0,182.0,7.9,2012.0,Adventure|Fantasy
The Fast and the Furious ,106.0,6.7,Action|Crime|Thriller,2001.0,106.0,6.7,2001.0,Action|Crime|Thriller
The Curious Case of Benjamin Button ,166.0,7.8,Drama|Fantasy|Romance,2008.0,166.0,7.8,2008.0,Drama|Fantasy|Romance
X-Men: First Class ,132.0,7.8,Action|Adventure|Sci-Fi,2011.0,132.0,7.8,2011.0,Action|Adventure|Sci-Fi
The Hunger Games: Mockingjay - Part 2 ,137.0,6.6,Adventure|Sci-Fi,2015.0,137.0,6.6,2015.0,Adventure|Sci-Fi
The Sorcerer's Apprentice ,109.0,6.1,Action|Adventure|Family|Fantasy,2010.0,109.0,6.1,2010.0,Action|Adventure|Family|Fantasy
Poseidon ,98.0,5.6,Action|Adventure|Drama|Thriller,2006.0,98.0,5.6,2006.0,Action|Adventure|Drama|Thriller
Alice Through the Looking Glass ,113.0,6.4,Adventure|Family|Fantasy,2016.0,113.0,6.4,2016.0,Adventure|Family|Fantasy
Shrek the Third ,93.0,6.1,Adventure|Animation|Comedy|Family|Fantasy,2007.0,93.0,6.1,2007.0,Adventure|Animation|Comedy|Family|Fantasy
Warcraft ,123.0,7.3,Action|Adventure|Fantasy,2016.0,123.0,7.3,2016.0,Action|Adventure|Fantasy
Terminator Genisys ,126.0,6.6,Action|Adventure|Sci-Fi,2015.0,126.0,6.6,2015.0,Action|Adventure|Sci-Fi
The Chronicles of Narnia: The Voyage of the Dawn Treader ,113.0,6.3,Adventure|Family|Fantasy,2010.0,113.0,6.3,2010.0,Adventure|Family|Fantasy
Pearl Harbor ,184.0,6.1,Action|Drama|History|Romance|War,2001.0,184.0,6.1,2001.0,Action|Drama|History|Romance|War
Transformers ,144.0,7.1,Action|Adventure|Sci-Fi,2007.0,144.0,7.1,2007.0,Action|Adventure|Sci-Fi
Alexander ,206.0,5.5,Action|Adventure|Biography|Drama|History|Romance|War,2004.0,206.0,5.5,2004.0,Action|Adventure|Biography|Drama|History|Romance|War
Harry Potter and the Order of the Phoenix ,138.0,7.5,Adventure|Family|Fantasy|Mystery,2007.0,138.0,7.5,2007.0,Adventure|Family|Fantasy|Mystery
Harry Potter and the Goblet of Fire ,157.0,7.6,Adventure|Family|Fantasy|Mystery,2005.0,157.0,7.6,2005.0,Adventure|Family|Fantasy|Mystery
Hancock ,102.0,6.4,Action|Drama,2008.0,102.0,6.4,2008.0,Action|Drama
I Am Legend ,104.0,7.2,Drama|Horror|Sci-Fi,2007.0,104.0,7.2,2007.0,Drama|Horror|Sci-Fi
Charlie and the Chocolate Factory ,115.0,6.7,Adventure|Comedy|Family|Fantasy,2005.0,115.0,6.7,2005.0,Adventure|Comedy|Family|Fantasy
Ratatouille ,111.0,8.0,Animation|Comedy|Family|Fantasy,2007.0,111.0,8.0,2007.0,Animation|Comedy|Family|Fantasy
Batman Begins ,128.0,8.3,Action|Adventure,2005.0,128.0,8.3,2005.0,Action|Adventure
Madagascar: Escape 2 Africa ,89.0,6.7,Action|Adventure|Animation|Comedy|Family,2008.0,89.0,6.7,2008.0,Action|Adventure|Animation|Comedy|Family
Night at the Museum: Battle of the Smithsonian ,105.0,5.9,Adventure|Comedy|Family|Fantasy,2009.0,105.0,5.9,2009.0,Adventure|Comedy|Family|Fantasy
X-Men Origins: Wolverine ,119.0,6.7,Action|Adventure|Fantasy|Sci-Fi|Thriller,2009.0,119.0,6.7,2009.0,Action|Adventure|Fantasy|Sci-Fi|Thriller
The Matrix Revolutions ,129.0,6.7,Action|Sci-Fi,2003.0,129.0,6.7,2003.0,Action|Sci-Fi
Frozen ,102.0,7.6,Adventure|Animation|Comedy|Family|Fantasy|Musical,2013.0,102.0,7.6,2013.0,Adventure|Animation|Comedy|Family|Fantasy|Musical
The Matrix Reloaded ,138.0,7.2,Action|Sci-Fi,2003.0,138.0,7.2,2003.0,Action|Sci-Fi
Thor: The Dark World ,112.0,7.1,Action|Adventure|Fantasy,2013.0,112.0,7.1,2013.0,Action|Adventure|Fantasy
Mad Max: Fury Road ,120.0,8.1,Action|Adventure|Sci-Fi|Thriller,2015.0,120.0,8.1,2015.0,Action|Adventure|Sci-Fi|Thriller
Angels & Demons ,146.0,6.7,Mystery|Thriller,2009.0,146.0,6.7,2009.0,Mystery|Thriller
Thor ,115.0,7.0,Action|Adventure|Fantasy,2011.0,115.0,7.0,2011.0,Action|Adventure|Fantasy
Bolt ,96.0,6.9,Adventure|Animation|Comedy|Drama|Family,2008.0,96.0,6.9,2008.0,Adventure|Animation|Comedy|Drama|Family
G-Force ,88.0,5.1,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2009.0,88.0,5.1,2009.0,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
Wrath of the Titans ,99.0,5.8,Action|Adventure|Fantasy,2012.0,99.0,5.8,2012.0,Action|Adventure|Fantasy
Dark Shadows ,113.0,6.2,Comedy|Fantasy|Horror,2012.0,113.0,6.2,2012.0,Comedy|Fantasy|Horror
Mission: Impossible - Rogue Nation ,131.0,7.4,Action|Adventure|Thriller,2015.0,131.0,7.4,2015.0,Action|Adventure|Thriller
The Wolfman ,119.0,5.8,Drama|Fantasy|Horror|Thriller,2010.0,119.0,5.8,2010.0,Drama|Fantasy|Horror|Thriller
Bee Movie ,91.0,6.2,Adventure|Animation|Comedy|Family,2007.0,91.0,6.2,2007.0,Adventure|Animation|Comedy|Family
Kung Fu Panda 2 ,90.0,7.3,Action|Adventure|Animation|Comedy|Family,2011.0,90.0,7.3,2011.0,Action|Adventure|Animation|Comedy|Family
The Last Airbender ,103.0,4.2,Action|Adventure|Family|Fantasy,2010.0,103.0,4.2,2010.0,Action|Adventure|Family|Fantasy
Mission: Impossible III ,124.0,6.9,Action|Adventure|Thriller,2006.0,124.0,6.9,2006.0,Action|Adventure|Thriller
White House Down ,131.0,6.4,Action|Drama|Thriller,2013.0,131.0,6.4,2013.0,Action|Drama|Thriller
Mars Needs Moms ,88.0,5.4,Action|Adventure|Animation|Comedy|Family|Sci-Fi,2011.0,88.0,5.4,2011.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi
Flushed Away ,85.0,6.7,Adventure|Animation|Comedy|Family,2006.0,85.0,6.7,2006.0,Adventure|Animation|Comedy|Family
Pan ,111.0,5.8,Adventure|Family|Fantasy,2015.0,111.0,5.8,2015.0,Adventure|Family|Fantasy
Mr. Peabody & Sherman ,92.0,6.9,Adventure|Animation|Comedy|Family|Sci-Fi,2014.0,92.0,6.9,2014.0,Adventure|Animation|Comedy|Family|Sci-Fi
Troy ,196.0,7.2,Adventure,2004.0,196.0,7.2,2004.0,Adventure
Madagascar 3: Europe's Most Wanted ,93.0,6.9,Adventure|Animation|Comedy|Family,2012.0,93.0,6.9,2012.0,Adventure|Animation|Comedy|Family
Die Another Day ,133.0,6.1,Action|Adventure|Thriller,2002.0,133.0,6.1,2002.0,Action|Adventure|Thriller
Ghostbusters ,116.0,5.5,Action|Comedy|Fantasy|Sci-Fi,2016.0,116.0,5.5,2016.0,Action|Comedy|Fantasy|Sci-Fi
Armageddon ,153.0,6.6,Action|Adventure|Sci-Fi|Thriller,1998.0,153.0,6.6,1998.0,Action|Adventure|Sci-Fi|Thriller
Men in Black II ,88.0,6.1,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,2002.0,88.0,6.1,2002.0,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi
Beowulf ,115.0,6.3,Action|Adventure|Animation|Fantasy,2007.0,115.0,6.3,2007.0,Action|Adventure|Animation|Fantasy
Kung Fu Panda 3 ,95.0,7.2,Action|Adventure|Animation|Comedy|Family,2016.0,95.0,7.2,2016.0,Action|Adventure|Animation|Comedy|Family
Mission: Impossible - Ghost Protocol ,133.0,7.4,Action|Adventure|Thriller,2011.0,133.0,7.4,2011.0,Action|Adventure|Thriller
Rise of the Guardians ,97.0,7.3,Adventure|Animation|Family|Fantasy,2012.0,97.0,7.3,2012.0,Adventure|Animation|Family|Fantasy
Fun with Dick and Jane ,90.0,6.1,Comedy|Crime,2005.0,90.0,6.1,2005.0,Comedy|Crime
The Last Samurai ,154.0,7.7,Action|Drama|History|War,2003.0,154.0,7.7,2003.0,Action|Drama|History|War
Exodus: Gods and Kings ,150.0,6.1,Action|Adventure|Drama,2014.0,150.0,6.1,2014.0,Action|Adventure|Drama
Star Trek ,127.0,8.0,Action|Adventure|Sci-Fi,2009.0,127.0,8.0,2009.0,Action|Adventure|Sci-Fi
Spider-Man ,121.0,7.3,Action|Adventure|Fantasy|Romance,2002.0,121.0,7.3,2002.0,Action|Adventure|Fantasy|Romance
How to Train Your Dragon 2 ,102.0,7.9,Action|Adventure|Animation|Comedy|Family|Fantasy,2014.0,102.0,7.9,2014.0,Action|Adventure|Animation|Comedy|Family|Fantasy
Gods of Egypt ,126.0,5.5,Action|Adventure|Fantasy,2016.0,126.0,5.5,2016.0,Action|Adventure|Fantasy
Stealth ,121.0,5.0,Action|Adventure|Sci-Fi|Thriller,2005.0,121.0,5.0,2005.0,Action|Adventure|Sci-Fi|Thriller
Watchmen ,215.0,7.7,Action|Drama|Mystery|Sci-Fi,2009.0,215.0,7.7,2009.0,Action|Drama|Mystery|Sci-Fi
Lethal Weapon 4 ,127.0,6.6,Action|Crime|Thriller,1998.0,127.0,6.6,1998.0,Action|Crime|Thriller
Hulk ,138.0,5.7,Action|Sci-Fi,2003.0,138.0,5.7,2003.0,Action|Sci-Fi
G.I. Joe: Retaliation ,122.0,5.8,Action|Adventure|Sci-Fi|Thriller,2013.0,122.0,5.8,2013.0,Action|Adventure|Sci-Fi|Thriller
Sahara ,124.0,6.0,Action|Adventure|Comedy|Thriller,2005.0,124.0,6.0,2005.0,Action|Adventure|Comedy|Thriller
Final Fantasy: The Spirits Within ,106.0,6.4,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,2001.0,106.0,6.4,2001.0,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi
Captain America: The First Avenger ,124.0,6.9,Action|Adventure|Sci-Fi,2011.0,124.0,6.9,2011.0,Action|Adventure|Sci-Fi
The World Is Not Enough ,128.0,6.4,Action|Adventure|Thriller,1999.0,128.0,6.4,1999.0,Action|Adventure|Thriller
Master and Commander: The Far Side of the World ,138.0,7.4,Action|Adventure|Drama|History|War,2003.0,138.0,7.4,2003.0,Action|Adventure|Drama|History|War
The Twilight Saga: Breaking Dawn - Part 2 ,115.0,5.5,Adventure|Drama|Fantasy|Romance,2012.0,115.0,5.5,2012.0,Adventure|Drama|Fantasy|Romance
Happy Feet 2 ,100.0,5.9,Animation|Comedy|Family|Musical,2011.0,100.0,5.9,2011.0,Animation|Comedy|Family|Musical
The Incredible Hulk ,135.0,6.8,Action|Adventure|Sci-Fi,2008.0,135.0,6.8,2008.0,Action|Adventure|Sci-Fi
The BFG ,117.0,6.8,Adventure|Family|Fantasy,2016.0,117.0,6.8,2016.0,Adventure|Family|Fantasy
The Revenant ,156.0,8.1,Adventure|Drama|Thriller|Western,2015.0,156.0,8.1,2015.0,Adventure|Drama|Thriller|Western
Turbo ,96.0,6.5,Adventure|Animation|Comedy|Family|Sport,2013.0,96.0,6.5,2013.0,Adventure|Animation|Comedy|Family|Sport
Rango ,107.0,7.2,Adventure|Animation|Comedy|Family|Western,2011.0,107.0,7.2,2011.0,Adventure|Animation|Comedy|Family|Western
Penguins of Madagascar ,92.0,6.7,Adventure|Animation|Comedy|Family,2014.0,92.0,6.7,2014.0,Adventure|Animation|Comedy|Family
The Bourne Ultimatum ,115.0,8.1,Action|Mystery|Thriller,2007.0,115.0,8.1,2007.0,Action|Mystery|Thriller
Kung Fu Panda ,92.0,7.6,Action|Adventure|Animation|Comedy|Family,2008.0,92.0,7.6,2008.0,Action|Adventure|Animation|Comedy|Family
Ant-Man ,117.0,7.4,Action|Adventure|Comedy|Sci-Fi,2015.0,117.0,7.4,2015.0,Action|Adventure|Comedy|Sci-Fi
The Hunger Games: Catching Fire ,146.0,7.6,Adventure|Sci-Fi|Thriller,2013.0,146.0,7.6,2013.0,Adventure|Sci-Fi|Thriller
Home ,94.0,6.7,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2015.0,94.0,6.7,2015.0,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
War of the Worlds ,116.0,6.5,Adventure|Sci-Fi|Thriller,2005.0,116.0,6.5,2005.0,Adventure|Sci-Fi|Thriller
Bad Boys II ,147.0,6.6,Action|Comedy|Crime|Thriller,2003.0,147.0,6.6,2003.0,Action|Comedy|Crime|Thriller
Puss in Boots ,90.0,6.7,Action|Adventure|Animation|Comedy|Family|Fantasy,2011.0,90.0,6.7,2011.0,Action|Adventure|Animation|Comedy|Family|Fantasy
Salt ,101.0,6.4,Action|Crime|Mystery|Thriller,2010.0,101.0,6.4,2010.0,Action|Crime|Mystery|Thriller
Noah ,138.0,5.8,Action|Adventure|Drama,2014.0,138.0,5.8,2014.0,Action|Adventure|Drama
The Adventures of Tintin ,107.0,7.4,Action|Adventure|Family|Mystery,2011.0,107.0,7.4,2011.0,Action|Adventure|Family|Mystery
Harry Potter and the Prisoner of Azkaban ,142.0,7.8,Adventure|Family|Fantasy|Mystery,2004.0,142.0,7.8,2004.0,Adventure|Family|Fantasy|Mystery
